,Unnamed: 0,DATE,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,TIME-TO-EXPIRATION
147,147,2024-04-08,2NDX,P,2024-12-20,11875.46,75.0793,64,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
148,148,2024-04-08,2NDX,C,2024-12-20,11942.59,6631.766,59,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
149,149,2024-04-08,2NDX,P,2024-12-20,11942.59,77.1994,59,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
150,150,2024-04-08,2NDX,C,2024-12-20,11975.2,6601.36,117,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
151,151,2024-04-08,2NDX,P,2024-12-20,11975.2,78.2461,117,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
152,152,2024-04-08,2NDX,C,2024-12-20,11988.27,6589.176,49,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
153,153,2024-04-08,2NDX,P,2024-12-20,11988.27,78.6689,49,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
154,154,2024-04-08,2NDX,C,2024-12-20,12000.01,6578.234,10,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
155,155,2024-04-08,2NDX,P,2024-12-20,12000.01,79.0503,68,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
156,156,2024-04-08,2NDX,C,2024-12-20,12050.0,6531.679,45,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
157,157,2024-04-08,2NDX,P,2024-12-20,12050.0,80.7105,45,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
158,158,2024-04-08,2NDX,C,2024-12-20,12071.78,6511.404,45,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
159,159,2024-04-08,2NDX,P,2024-12-20,12071.78,81.4428,45,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,256
